region,date,max_ndvi
anwr,2000-02-18,411
anwr,2000-03-05,343
anwr,2000-03-21,31
anwr,2000-04-06,46
anwr,2000-04-22,374
anwr,2000-05-08,650
anwr,2000-05-24,6069
anwr,2000-06-09,7562
anwr,2000-06-25,8087
anwr,2000-07-11,8163
anwr,2000-07-27,8363
anwr,2000-08-12,7365
anwr,2000-08-28,9105
anwr,2000-09-13,9777
anwr,2000-09-29,2102
anwr,2000-10-15,1363
anwr,2000-10-31,819
anwr,2000-11-16,0
anwr,2000-12-02,0
anwr,2000-12-18,0
anwr,2001-01-01,0
anwr,2001-01-17,0
anwr,2001-02-02,153
anwr,2001-02-18,223
anwr,2001-03-06,305
anwr,2001-03-22,159
anwr,2001-04-07,93
anwr,2001-04-23,140
anwr,2001-05-09,1965
anwr,2001-05-25,6099
anwr,2001-06-10,9545
anwr,2001-06-26,8465
anwr,2001-07-12,8160
anwr,2001-07-28,8262
anwr,2001-08-13,7413
anwr,2001-08-29,6187
anwr,2001-09-14,9908
anwr,2001-09-30,3857
anwr,2001-10-16,645
anwr,2001-11-01,612
anwr,2001-11-17,0
anwr,2001-12-03,0
anwr,2001-12-19,0
anwr,2002-01-01,0
anwr,2002-01-17,0
anwr,2002-02-02,140
anwr,2002-02-18,570
anwr,2002-03-06,8166
anwr,2002-03-22,3575
anwr,2002-04-07,519
anwr,2002-04-23,1488
anwr,2002-05-09,5717
anwr,2002-05-25,6662
anwr,2002-06-10,7257
anwr,2002-06-26,8279
anwr,2002-07-12,7906
anwr,2002-07-28,7865
anwr,2002-08-13,7683
anwr,2002-08-29,9570
anwr,2002-09-14,9925
anwr,2002-09-30,9220
anwr,2002-10-16,3750
anwr,2002-11-01,1091
anwr,2002-11-17,0
anwr,2002-12-03,0
anwr,2002-12-19,0
anwr,2003-01-01,0
anwr,2003-01-17,0
anwr,2003-02-02,497
anwr,2003-02-18,594
anwr,2003-03-06,205
anwr,2003-03-22,168
anwr,2003-04-07,1569
anwr,2003-04-23,5965
anwr,2003-05-09,8790
anwr,2003-05-25,6268
anwr,2003-06-10,7110
anwr,2003-06-26,7936
anwr,2003-07-12,8190
anwr,2003-07-28,8215
anwr,2003-08-13,7436
anwr,2003-08-29,7372
anwr,2003-09-14,7561
anwr,2003-09-30,8823
anwr,2003-10-16,3890
anwr,2003-11-01,2445
anwr,2003-11-17,0
anwr,2003-12-03,0
anwr,2003-12-19,0
anwr,2004-01-01,0
anwr,2004-01-17,0
anwr,2004-02-02,548
anwr,2004-02-18,471
anwr,2004-03-05,330
anwr,2004-03-21,159
anwr,2004-04-06,342
anwr,2004-04-22,3404
anwr,2004-05-08,5351
anwr,2004-05-24,7023
anwr,2004-06-09,7995
anwr,2004-06-25,8032
anwr,2004-07-11,9914
anwr,2004-07-27,8105
anwr,2004-08-12,7081
anwr,2004-08-28,6927
anwr,2004-09-13,9588
anwr,2004-09-29,5303
anwr,2004-10-15,1048
anwr,2004-10-31,14
anwr,2004-11-16,0
anwr,2004-12-02,0
anwr,2004-12-18,0
anwr,2005-01-01,0
anwr,2005-01-17,696
anwr,2005-02-02,356
anwr,2005-02-18,505
anwr,2005-03-06,211
anwr,2005-03-22,249
anwr,2005-04-07,229
anwr,2005-04-23,6895
anwr,2005-05-09,6282
anwr,2005-05-25,7261
anwr,2005-06-10,7691
anwr,2005-06-26,7665
anwr,2005-07-12,7716
anwr,2005-07-28,7424
anwr,2005-08-13,7301
anwr,2005-08-29,9540
anwr,2005-09-14,9443
anwr,2005-09-30,9422
anwr,2005-10-16,1002
anwr,2005-11-01,704
anwr,2005-11-17,0
anwr,2005-12-03,0
anwr,2005-12-19,0
anwr,2006-01-01,0
anwr,2006-01-17,0
anwr,2006-02-02,454
anwr,2006-02-18,618
anwr,2006-03-06,279
anwr,2006-03-22,236
anwr,2006-04-07,100
anwr,2006-04-23,254
anwr,2006-05-09,5474
anwr,2006-05-25,5858
anwr,2006-06-10,7709
anwr,2006-06-26,7743
anwr,2006-07-12,8324
anwr,2006-07-28,8259
anwr,2006-08-13,8693
anwr,2006-08-29,7623
anwr,2006-09-14,9840
anwr,2006-09-30,9957
anwr,2006-10-16,3881
anwr,2006-11-01,610
anwr,2006-11-17,0
anwr,2006-12-03,0
anwr,2006-12-19,0
anwr,2007-01-01,0
anwr,2007-01-17,0
anwr,2007-02-02,482
anwr,2007-02-18,471
anwr,2007-03-06,234
anwr,2007-03-22,152
anwr,2007-04-07,745
anwr,2007-04-23,9948
anwr,2007-05-09,7551
anwr,2007-05-25,6964
anwr,2007-06-10,7415
anwr,2007-06-26,8216
anwr,2007-07-12,8193
anwr,2007-07-28,8286
anwr,2007-08-13,7397
anwr,2007-08-29,6551
anwr,2007-09-14,9749
anwr,2007-09-30,9959
anwr,2007-10-16,2150
anwr,2007-11-01,246
anwr,2007-11-17,0
anwr,2007-12-03,0
anwr,2007-12-19,0
anwr,2008-01-01,0
anwr,2008-01-17,0
anwr,2008-02-02,780
anwr,2008-02-18,427
anwr,2008-03-05,334
anwr,2008-03-21,211
anwr,2008-04-06,6475
anwr,2008-04-22,2492
anwr,2008-05-08,5565
anwr,2008-05-24,6409
anwr,2008-06-09,7495
anwr,2008-06-25,8372
anwr,2008-07-11,9064
anwr,2008-07-27,8261
anwr,2008-08-12,7150
anwr,2008-08-28,9393
anwr,2008-09-13,9685
anwr,2008-09-29,7029
anwr,2008-10-15,592
anwr,2008-10-31,528
anwr,2008-11-16,0
anwr,2008-12-02,0
anwr,2008-12-18,0
anwr,2009-01-01,0
anwr,2009-01-17,0
anwr,2009-02-02,187
anwr,2009-02-18,381
anwr,2009-03-06,161
anwr,2009-03-22,157
anwr,2009-04-07,173
anwr,2009-04-23,3892
anwr,2009-05-09,5491
anwr,2009-05-25,6754
anwr,2009-06-10,7505
anwr,2009-06-26,8115
anwr,2009-07-12,9454
anwr,2009-07-28,7939
anwr,2009-08-13,7143
anwr,2009-08-29,9967
anwr,2009-09-14,9041
anwr,2009-09-30,2432
anwr,2009-10-16,1167
anwr,2009-11-01,838
anwr,2009-11-17,0
anwr,2009-12-03,0
anwr,2009-12-19,0
anwr,2010-01-01,0
anwr,2010-01-17,0
anwr,2010-02-02,668
anwr,2010-02-18,512
anwr,2010-03-06,433
anwr,2010-03-22,249
anwr,2010-04-07,2455
anwr,2010-04-23,5842
anwr,2010-05-09,6029
anwr,2010-05-25,7087
anwr,2010-06-10,7991
anwr,2010-06-26,8028
anwr,2010-07-12,7957
anwr,2010-07-28,7888
anwr,2010-08-13,7247
anwr,2010-08-29,8214
anwr,2010-09-14,9625
anwr,2010-09-30,8983
anwr,2010-10-16,1637
anwr,2010-11-01,965
anwr,2010-11-17,0
anwr,2010-12-03,0
anwr,2010-12-19,0
anwr,2011-01-01,0
anwr,2011-01-17,0
anwr,2011-02-02,524
anwr,2011-02-18,626
anwr,2011-03-06,293
anwr,2011-03-22,157
anwr,2011-04-07,141
anwr,2011-04-23,308
anwr,2011-05-09,7588
anwr,2011-05-25,6749
anwr,2011-06-10,7834
anwr,2011-06-26,8220
anwr,2011-07-12,8807
anwr,2011-07-28,8648
anwr,2011-08-13,7584
anwr,2011-08-29,8275
anwr,2011-09-14,9888
anwr,2011-09-30,9593
anwr,2011-10-16,2196
anwr,2011-11-01,825
anwr,2011-11-17,0
anwr,2011-12-03,0
anwr,2011-12-19,0
anwr,2012-01-01,0
anwr,2012-01-17,0
anwr,2012-02-02,705
anwr,2012-02-18,579
anwr,2012-03-05,168
anwr,2012-03-21,198
anwr,2012-04-06,6210
anwr,2012-04-22,3281
anwr,2012-05-08,5741
anwr,2012-05-24,6739
anwr,2012-06-09,8225
anwr,2012-06-25,8706
anwr,2012-07-11,8527
anwr,2012-07-27,8302
anwr,2012-08-12,7186
anwr,2012-08-28,9943
anwr,2012-09-13,9757
anwr,2012-09-29,9780
anwr,2012-10-15,1273
anwr,2012-10-31,1572
anwr,2012-11-16,0
anwr,2012-12-02,0
anwr,2012-12-18,0
anwr,2013-01-01,0
anwr,2013-01-17,0
anwr,2013-02-02,702
anwr,2013-02-18,597
anwr,2013-03-06,493
anwr,2013-03-22,278
anwr,2013-04-07,178
anwr,2013-04-23,192
anwr,2013-05-09,1436
anwr,2013-05-25,6297
anwr,2013-06-10,7699
anwr,2013-06-26,8433
anwr,2013-07-12,9837
anwr,2013-07-28,8769
anwr,2013-08-13,9600
anwr,2013-08-29,9793
anwr,2013-09-14,9316
anwr,2013-09-30,1537
anwr,2013-10-16,3744
anwr,2013-11-01,226
anwr,2013-11-17,0
anwr,2013-12-03,0
anwr,2013-12-19,0
anwr,2014-01-01,0
anwr,2014-01-17,0
anwr,2014-02-02,334
anwr,2014-02-18,445
anwr,2014-03-06,383
anwr,2014-03-22,238
anwr,2014-04-07,291
anwr,2014-04-23,1014
anwr,2014-05-09,9976
anwr,2014-05-25,6432
anwr,2014-06-10,7427
anwr,2014-06-26,8390
anwr,2014-07-12,8609
anwr,2014-07-28,7981
anwr,2014-08-13,7569
anwr,2014-08-29,9805
anwr,2014-09-14,9705
anwr,2014-09-30,6360
anwr,2014-10-16,1300
anwr,2014-11-01,1167
anwr,2014-11-17,0
anwr,2014-12-03,0
anwr,2014-12-19,0
anwr,2015-01-01,0
anwr,2015-01-17,0
anwr,2015-02-02,607
anwr,2015-02-18,368
